Nome;Área;Cliente;Prioridade;Status;Data Início;Data Fim
A. Yoshii Engenharia;Tecnologia;A. Yoshii Engenharia;Média;Em Andamento;19/01/2026;31/12/2026
Bild;Tecnologia;Bild;Média;Em Andamento;01/11/2025;30/04/2026
CI&T (Projeto Heart - ERP Wave 3);Tecnologia;CI&T (Projeto Heart - ERP Wave 3);Média;Em Andamento;03/11/2025;18/11/2026
Credit Saison;Tecnologia;Credit Saison;Média;Em Andamento;02/03/2026;16/09/2026
Estrela Bet (EB);Tecnologia;Estrela Bet (EB);Média;Em Andamento;01/01/2025;30/03/2026
H2 Club;Tecnologia;H2 Club;Média;Em Andamento;01/11/2025;30/03/2026
MDS;Tecnologia;MDS;Média;Em Andamento;01/01/2025;30/03/2026
Pacaembu;Tecnologia;Pacaembu;Média;Em Andamento;01/01/2025;30/04/2026
Patria;Tecnologia;Patria;Média;Em Andamento;09/02/2026;30/09/2026
Pires do Rio (Cibraço);Tecnologia;Pires do Rio (Cibraço);Média;Em Andamento;02/03/2026;10/11/2026
Ventura Offshore;Tecnologia;Ventura Offshore;Média;Em Andamento;08/04/2025;10/11/2026
